learner_uid,dimred,auc
CVsplit1_corrgpca_pca_learner35,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner10,corrGPCA + PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner24,corrGPCA + PCA,0.833333333333333
CVsplit1_corrgpca_pca_learner28,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner11,corrGPCA + PCA,0.833333333333333
CVsplit1_corrgpca_pca_learner34,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner06,corrGPCA + PCA,0.5
CVsplit1_pca_learner26,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner44,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner34,corrGPCA + PCA,0.833333333333333
CVsplit1_pca_learner48,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner29,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner28,corrGPCA + PCA,0.833333333333333
CVsplit1_corrgpca_pca_learner25,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner01,corrGPCA + PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner35,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner08,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner02,corrGPCA + PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner18,corrGPCA + PCA,0.583333333333333
CVsplit1_corrgpca_pca_learner18,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner20,corrGPCA + PCA,0.75
CVsplit2_pca_learner24,PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner48,corrGPCA + PCA,0.583333333333333
CVsplit1_corrgpca_pca_learner48,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner26,corrGPCA + PCA,0.666666666666667
CVsplit2_pca_learner45,PCA,0.75
CVsplit1_corrgpca_pca_learner13,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner03,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner43,corrGPCA + PCA,0.75
CVsplit1_pca_learner08,PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner20,corrGPCA + PCA,0.75
CVsplit2_pca_learner25,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner40,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner01,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner32,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner25,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner14,corrGPCA + PCA,0.75
CVsplit2_pca_learner40,PCA,0.583333333333333
CVsplit1_corrgpca_pca_learner21,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner13,corrGPCA + PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner22,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner08,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner40,corrGPCA + PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner03,corrGPCA + PCA,0.583333333333333
CVsplit1_pca_learner36,PCA,0.666666666666667
CVsplit1_pca_learner32,PCA,0.75
CVsplit1_corrgpca_pca_learner41,corrGPCA + PCA,0.75
CVsplit1_pca_learner19,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner49,corrGPCA + PCA,0.75
CVsplit2_pca_learner31,PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner41,corrGPCA + PCA,0.666666666666667
CVsplit2_pca_learner46,PCA,0.5
CVsplit2_pca_learner21,PCA,0.583333333333333
CVsplit1_pca_learner06,PCA,0.75
CVsplit2_pca_learner35,PCA,0.583333333333333
CVsplit1_pca_learner03,PCA,0.666666666666667
CVsplit1_pca_learner13,PCA,0.666666666666667
CVsplit2_pca_learner07,PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner14,corrGPCA + PCA,0.5
CVsplit2_corrgpca_pca_learner49,corrGPCA + PCA,0.583333333333333
CVsplit2_pca_learner28,PCA,0.583333333333333
CVsplit1_pca_learner49,PCA,0.75
CVsplit2_pca_learner29,PCA,0.583333333333333
CVsplit2_pca_learner43,PCA,0.583333333333333
CVsplit2_pca_learner34,PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner26,corrGPCA + PCA,0.583333333333333
CVsplit1_pca_learner41,PCA,0.666666666666667
CVsplit2_pca_learner10,PCA,0.583333333333333
CVsplit2_pca_learner11,PCA,0.666666666666667
CVsplit2_pca_learner44,PCA,0.583333333333333
CVsplit2_pca_learner39,PCA,0.583333333333333
CVsplit2_pca_learner20,PCA,0.5
CVsplit2_corrgpca_pca_learner32,corrGPCA + PCA,0.583333333333333
CVsplit2_pca_learner06,PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner15,corrGPCA + PCA,0.5
